Distric_name,Upazila_name
Barguna,Amtali
Barguna,Bamna
Barguna,Barguna-S
Barguna,Betagi
Barguna,Patharghata
Barguna,Taltali
Barishal,Agailjhara
Barishal,Babuganj
Barishal,Bakerganj
Barishal,Banaripara
Barishal,Barishal-S
Barishal,Gouranadi
Barishal,Hizla
Barishal,Mehendiganj
Barishal,Muladi
Barishal,Uzirpur
Bhola,Bhola-S
Bhola,Borhanuddin
Bhola,Charfassion
Bhola,Daulatkhan
Bhola,Lalmohan
Bhola,Monpura
Bhola,Tazumuddin
Jhalokathi,Jhalokathi-S
Jhalokathi,Kathalia
Jhalokathi,Nalchity
Jhalokathi,Rajapur
Patuakhali,Bauphal
Patuakhali,Dashmina
Patuakhali,Dumki
Patuakhali,Galachipa
Patuakhali,Kalapara
Patuakhali,Mirjaganj
Patuakhali,Patuakhali-S
Patuakhali,Rangabali
Patuakhali,Bhandaria
Pirojpur,Kawkhali
Pirojpur,Mothbaria
Pirojpur,Nazirpur
Pirojpur,Nesarabad
Pirojpur,Pirojpur-S
Pirojpur,Zianagar
B.baria,Akhaura
B.baria,Ashuganj
B.baria,B.Baria-S
B.baria,Bancharampur
B.baria,Bijoynagar
B.baria,Kasba
B.baria,Nabinagar
B.baria,Nasirnagar
B.baria,Sarail
Bandarban,Alikadam
Bandarban,Bandarban-S
Bandarban,Lama
Bandarban,Naikhyongchari
Bandarban,Rowangchari
Bandarban,Ruma
Bandarban,Thanchi
Chandpur,Chandpur-S
Chandpur,Faridganj
Chandpur,Haimchar
Chandpur,Haziganj
Chandpur,Kachua
Chandpur,Matlab (Dakshin)
Chandpur,Matlab (Uttar)
Chandpur,Shahrasti
Chandpur,Anwara
Chandpur,Banskhali
Chandpur,Boalkhali
Chandpur,Chandanish
Chandpur,Fatikchari
Chandpur,Hathazari
Chattogram,Karnaphuli
Chattogram,Lohagara
Chattogram,Mirsharai
Chattogram,Patiya
Chattogram,Rangunia
Chattogram,Raojan
Chattogram,Sandwip
Chattogram,Satkania
Chattogram,Sitakunda
Cox's bazar,Chakoria
Cox's bazar,Cox'S Bazar-S
Cox's bazar,Kutubdia
Cox's bazar,Moheskhali
Cox's bazar,Pekua
Cox's bazar,Ramu
Cox's bazar,Teknaf
Cox's bazar,Ukhiya
Cumilla,Barura
Cumilla,Brahmanpara
Cumilla,Burichong
Cumilla,Chandina
Cumilla,Chouddagram
Cumilla,Cumilla-S
Cumilla,Cumilla-S Daksin
Cumilla,Daudkandi
Cumilla,Debidwar
Cumilla,Homna
Cumilla,Laksham
Cumilla,Lalmai
Cumilla,Meghna
Cumilla,Monohorganj
Cumilla,Muradnagar
Cumilla,Nangalkot
Cumilla,Titas
Cumilla,Chhagalniya
Cumilla,Daganbhuiyan
Cumilla,Feni-S
Cumilla,Fulgazi
Cumilla,Porshuram
Cumilla,Sonagazi
Khagrachari,Dighinala
Khagrachari,Guimara
Khagrachari,Khagrachari-S
Khagrachari,Laxmichari
Khagrachari,Mahalchari
Khagrachari,Manikchari
Khagrachari,Matiranga
Khagrachari,Panchari
Khagrachari,Ramgarh
Laxmipur,Komol Nagar
Laxmipur,Laxmipur-S
Laxmipur,Raipur
Laxmipur,Ramganj
Laxmipur,Ramgati
Noakhali,Begumganj
Noakhali,Chatkhil
Noakhali,Companiganj
Noakhali,Hatiya
Noakhali,Kabir Hat
Noakhali,Noakhali-S
Noakhali,Senbag
Noakhali,Sonaimuri
Noakhali,Subarna Char
Rangamati,Baghaichari
Rangamati,Barkal
Rangamati,Belaichari
Rangamati,Juraichari
Rangamati,Kaptai
Rangamati,Kaukhali
Rangamati,Langadu
Rangamati,Nanniarchar
Rangamati,Rajosthali
Rangamati,Rangamati-S
Dhaka,Dhamrai
Dhaka,Dohar
Dhaka,Keraniganj
Dhaka,Nawabganj
Dhaka,Savar
Faridpur,Alfadanga
Faridpur,Bhanga
Faridpur,Boalmari
Faridpur,Charbhadrasan
Faridpur,Faridpur-S
Faridpur,Madhukhali
Faridpur,Nagarkanda
Faridpur,Sadarpur
Faridpur,Saltha
Gazipur,Gazipur-S
Gazipur,Kaliakoir
Gazipur,Kaliganj
Gazipur,Kapasia
Gazipur,Sreepur
Gopalganj,Gopalganj-S
Gopalganj,Kasiani
Gopalganj,Kotwalipara
Gopalganj,Muksudpur
Gopalganj,Tungipara
Kishoreganj,Austagram
Kishoreganj,Bajitpur
Kishoreganj,Bhairab
Kishoreganj,Hossainpur
Kishoreganj,Itna
Kishoreganj,Karimganj
Kishoreganj,Katiadi
Kishoreganj,Kishoreganj-S
Kishoreganj,Kuliarchar
Kishoreganj,Mithamoin
Kishoreganj,Nikli
Kishoreganj,Pakundia
Kishoreganj,Tarail
Madaripur,Kalkini
Madaripur,Madaripur-S
Madaripur,Rajoir
Madaripur,Shibchar
Manikganj,Daulatpur
Manikganj,Ghior
Manikganj,Harirampur
Manikganj,Manikganj-S
Manikganj,Saturia
Manikganj,Shivalaya
Manikganj,Singair
Munshiganj,Gazaria
Munshiganj,Lauhajong
Munshiganj,Munshiganj-S
Munshiganj,Sirajdikhan
Munshiganj,Sreenagar
Munshiganj,Tongibari
Narayanganj,Araihazar
Narayanganj,Bandar
Narayanganj,Narayanganj-S
Narayanganj,Rupganj
Narayanganj,Sonargaon
Narshingdi,Belabo
Narshingdi,Monohardi
Narshingdi,Narshingdi-S
Narshingdi,Palash
Narshingdi,Raipura
Narshingdi,Shibpur
Narshingdi,Baliakandi
Narshingdi,Goalanda
Narshingdi,Kalukhali
Narshingdi,Pangsha
Narshingdi,Rajbari-S
Narshingdi,Bhedarganj
Shariatpur,Damuddya
Shariatpur,Goshairhat
Shariatpur,Janjira
Shariatpur,Naria
Shariatpur,Shariatpur-S
Tangail,Basail
Tangail,Bhuapur
Tangail,Delduar
Tangail,Dhanbari
Tangail,Ghatail
Tangail,Gopalpur
Tangail,Kalihati
Tangail,Madhupur
Tangail,Mirzapur
Tangail,Nagarpur
Tangail,Shakhipur
Tangail,Tangail-S
Bagerhat,Bagerhat-S
Bagerhat,Chitalmari
Bagerhat,Fakirhat
Bagerhat,Kachua
Bagerhat,Mollahat
Bagerhat,Mongla
Bagerhat,Morrelganj
Bagerhat,Rampal
Bagerhat,Sharankhola
Chuadanga,Alamdanga
Chuadanga,Chuadanga-S
Chuadanga,Damurhuda
Chuadanga,Jibannagar
Jashore,Abhoynagar
Jashore,Bagherpara
Jashore,Chowgacha
Jashore,Jashore-S
Jashore,Jhikargacha
Jashore,Keshabpur
Jashore,Monirampur
Jashore,Sarsha
Jhenaidah,Harinakunda
Jhenaidah,Jhenaidah-S
Jhenaidah,Kaliganj
Jhenaidah,Kotchandpur
Jhenaidah,Moheshpur
Jhenaidah,Shailkupa
Khulna,Batiaghata
Khulna,Dacope
Khulna,Dighalia
Khulna,Dumuria
Khulna,Koira
Khulna,Paikgacha
Khulna,Phultala
Khulna,Rupsa
Khulna,Terokhada
Kushtia,Bheramara
Kushtia,Daulatpur
Kushtia,Khoksha
Kushtia,Kumarkhali
Kushtia,Kushtia-S
Kushtia,Mirpur
Magura,Magura-S
Magura,Mohammadpur
Magura,Salikha
Magura,Sreepur
Meherpur,Gangni
Meherpur,Meherpur-S
Meherpur,Mujib Nagar
Narail,Kalia
Narail,Lohagara
Narail,Narail-S
Narail,Assasuni
Narail,Debhata
Narail,Kalaroa
Satkhira,Kaliganj
Satkhira,Satkhira-S
Satkhira,Shyamnagar
Satkhira,Tala
Jamalpur,Bakshiganj
Jamalpur,Dewanganj
Jamalpur,Islampur
Jamalpur,Jamalpur-S
Jamalpur,Madarganj
Jamalpur,Melendah
Jamalpur,Sarishabari
Mymensingh,Bhaluka
Mymensingh,Dhobaura
Mymensingh,Fulbaria
Mymensingh,Gaffargaon
Mymensingh,Gouripur
Mymensingh,Haluaghat
Mymensingh,Ishwarganj
Mymensingh,Muktagacha
Mymensingh,Mymensingh-S
Mymensingh,Nandail
Mymensingh,Phulpur
Mymensingh,Tarakanda
Mymensingh,Trishal
Netrokona,Atpara
Netrokona,Barhatta
Netrokona,Durgapur
Netrokona,Kalmakanda
Netrokona,Kendua
Netrokona,Khaliajuri
Netrokona,Madan
Netrokona,Mohanganj
Netrokona,Netrakona-S
Netrokona,Purbadhala
Netrokona,Jhenaigati
Netrokona,Nakla
Sherpur,Nalitabari
Sherpur,Sherpur-S
Sherpur,Sreebordi
Bogura,Adamdighi
Bogura,Bogura-S
Bogura,Dhunot
Bogura,Dhupchancia
Bogura,Gabtali
Bogura,Kahaloo
Bogura,Nandigram
Bogura,Sariakandi
Bogura,Shajahanpur
Bogura,Sherpur
Bogura,Shibganj
Bogura,Sonatala
C. nawabganj,Bholahat
C. nawabganj,Gomostapur
C. nawabganj,Nachol
C. nawabganj,Nawabganj-S
C. nawabganj,Shibganj
Joypurhat,Akkelpur
Joypurhat,Joypurhat-S
Joypurhat,Kalai
Joypurhat,Khetlal
Joypurhat,Panchbibi
Naogaon,Atrai
Naogaon,Badalgachi
Naogaon,Dhamoirhat
Naogaon,Manda
Naogaon,Mohadevpur
Naogaon,Naogaon-S
Naogaon,Niamatpur
Naogaon,Patnitala
Naogaon,Porsha
Naogaon,Raninagar
Naogaon,Shapahar
Natore,Bagatipara
Natore,Baraigram
Natore,Gurudaspur
Natore,Lalpur
Natore,Naldanga
Natore,Natore-S
Natore,Singra
Pabna,Atghoria
Pabna,Bera
Pabna,Bhangura
Pabna,Chatmohar
Pabna,Faridpur
Pabna,Ishwardi
Pabna,Pabna-S
Pabna,Santhia
Pabna,Sujanagar
Rajshahi,Bagha
Rajshahi,Bagmara
Rajshahi,Charghat
Rajshahi,Durgapur
Rajshahi,Godagari
Rajshahi,Mohanpur
Rajshahi,Paba
Rajshahi,Puthia
Rajshahi,Tanore
Sirajganj,Belkuchi
Sirajganj,Chowhali
Sirajganj,Kamarkhand
Sirajganj,Kazipur
Sirajganj,Raiganj
Sirajganj,Shahzadpur
Sirajganj,Sirajganj-S
Sirajganj,Tarash
Sirajganj,Ullapara
Sirajganj,Birampur
Sirajganj,Birganj
Dinajpur,Birol
Dinajpur,Bochaganj
Dinajpur,Chirirbandar
Dinajpur,Dinajpur-S
Dinajpur,Fulbari
Dinajpur,Ghoraghat
Dinajpur,Hakimpur
Dinajpur,Kaharol
Dinajpur,Khanshama
Dinajpur,Nawabganj
Dinajpur,Parbatipur
Gaibandha,Fulchari
Gaibandha,Gaibandha-S
Gaibandha,Gobindaganj
Gaibandha,Palashbari
Gaibandha,Sadullapur
Gaibandha,Saghata
Gaibandha,Sundarganj
Kurigram,Bhurungamari
Kurigram,Chilmari
Kurigram,Fulbari
Kurigram,Kurigram-S
Kurigram,Nageswari
Kurigram,Rajarhat
Kurigram,Rajibpur
Kurigram,Rowmari
Kurigram,Ulipur
Lalmonirhat,Aditmari
Lalmonirhat,Hatibandha
Lalmonirhat,Kaliganj
Lalmonirhat,Lalmonirhat-S
Lalmonirhat,Patgram
Nilphamari,Dimla
Nilphamari,Domar
Nilphamari,Jaldhaka
Nilphamari,Kishoreganj
Nilphamari,Nilphamari-S
Nilphamari,Sayedpur
Panchagarh,Atwari
Panchagarh,Boda
Panchagarh,Debiganj
Panchagarh,Panchagarh-S
Panchagarh,Tetulia
Rangpur,Badarganj
Rangpur,Gangachara
Rangpur,Kaunia
Rangpur,Mithapukur
Rangpur,Pirgacha
Rangpur,Pirganj
Rangpur,Rangpur-S
Rangpur,Taraganj
Thakurgaon,Baliadangi
Thakurgaon,Haripur
Thakurgaon,Pirganj
Thakurgaon,Ranisankail
Thakurgaon,Thakurgaon-S
Habiganj,Azmiriganj
Habiganj,Bahubal
Habiganj,Baniachong
Habiganj,Chunarughat
Habiganj,Habiganj-S
Habiganj,Lakhai
Habiganj,Madhabpur
Habiganj,Nabiganj
Habiganj,Sayestaganj
Moulvibazar,Barlekha
Moulvibazar,Juri
Moulvibazar,Kamalganj
Moulvibazar,Kulaura
Moulvibazar,Moulvibazar-S
Moulvibazar,Rajnagar
Moulvibazar,Sreemangal
Sunamganj,Biswamvarpur
Sunamganj,Chatak
Sunamganj,Dakhin Sunamganj
Sunamganj,Derai
Sunamganj,Dharmapasha
Sunamganj,Doarabazar
Sunamganj,Jagannathpur
Sunamganj,Jamalganj
Sunamganj,Sulla
Sunamganj,Sunamganj-S
Sunamganj,Tahirpur
Sylhet,Balaganj
Sylhet,Beanibazar
Sylhet,Biswanath
Sylhet,Companiganj
Sylhet,Dakshin Surma
Sylhet,Fenchuganj
Sylhet,Golapganj
Sylhet,Gowainghat
Sylhet,Jointiapur
Sylhet,Kanaighat
Sylhet,Osmaninagar
Sylhet,Sylhet-S
Sylhet,Zakiganj
